378511.64507132,4939684.44960435,1
378519.96847597,4939682.54263558,1
378531.14895517,4939678.30700708,1
378540.60922618,4939675.07491875,1
378550.79029103,4939670.34127284,1
378561.01532916,4939665.21820322,1
378570.65019156,4939659.0526672,1
378579.57434497,4939652.03307527,1
378584.58774917,4939641.86474478,1
378590.82487977,4939632.66813214,1
378588.59608216,4939622.35434336,1
378590.42952069,4939614.43049316,1
378595.17326045,4939621.30247012,1
378593.54697283,4939631.37593171,1
378590.31683164,4939642.87348987,1
378591.8308717,4939646.45240474,1
378601.53957754,4939643.67750753,1
378611.86526361,4939639.19239961,1
378620.93236748,4939634.79511396,1
